mode: set
llm-proxy/proxy/backoff.go:24.48,32.2 1 1
llm-proxy/proxy/request_handler.go:218.2,229.8 3 0
llm-proxy/proxy/request_handler.go:238.27,240.28 2 0
llm-proxy/proxy/request_handler.go:240.28,242.3 1 0
llm-proxy/proxy/request_handler.go:243.2,246.16 3 0
llm-proxy/proxy/request_handler.go:246.16,250.3 3 0
llm-proxy/proxy/request_handler.go:252.2,258.8 2 0
llm-proxy/proxy/response_handler.go:19.52,21.2 1 1
llm-proxy/proxy/response_handler.go:33.26,35.2 1 0
llm-proxy/proxy/response_handler.go:47.26,53.16 3 1
llm-proxy/proxy/response_handler.go:53.16,56.3 2 0
llm-proxy/proxy/response_handler.go:59.2,59.29 1 1
llm-proxy/proxy/response_handler.go:59.29,61.3 1 1
llm-proxy/proxy/response_handler.go:62.2,80.22 6 1
llm-proxy/proxy/response_handler.go:84.108,86.66 2 1
llm-proxy/proxy/response_handler.go:86.66,88.3 1 0
llm-proxy/proxy/response_handler.go:88.8,90.3 1 1
llm-proxy/proxy/response_handler.go:91.2,92.18 2 1
llm-proxy/proxy/response_handler.go:96.91,97.29 1 1
llm-proxy/proxy/response_handler.go:97.29,103.3 4 0
llm-proxy/proxy/response_handler.go:107.111,108.36 1 1
llm-proxy/proxy/response_handler.go:108.36,110.56 2 1
llm-proxy/proxy/response_handler.go:110.56,112.4 1 0
llm-proxy/proxy/response_handler.go:112.9,114.4 1 1
llm-proxy/proxy/response_handler.go:115.3,115.38 1 1
llm-proxy/proxy/response_handler.go:115.38,117.4 1 1
llm-proxy/proxy/response_handler.go:122.97,123.18 1 1
llm-proxy/proxy/response_handler.go:123.18,125.3 1 1
llm-proxy/proxy/response_handler.go:127.2,127.29 1 0
llm-proxy/proxy/response_handler.go:127.29,130.3 2 0
llm-proxy/proxy/response_handler.go:130.8,132.3 1 0
llm-proxy/proxy/response_handler.go:136.62,137.29 1 1
llm-proxy/proxy/response_handler.go:137.29,139.3 1 0
llm-proxy/proxy/response_handler.go:140.2,140.21 1 1
llm-proxy/proxy/response_handler.go:150.103,155.2 1 1
llm-proxy/proxy/response_handler.go:165.19,167.19 1 1
llm-proxy/proxy/response_handler.go:167.19,175.3 2 1
llm-proxy/proxy/response_handler.go:178.2,178.65 1 0
llm-proxy/proxy/response_handler.go:178.65,188.17 3 0
llm-proxy/proxy/response_handler.go:188.17,195.4 2 0
llm-proxy/proxy/response_handler.go:197.3,203.29 2 0
llm-proxy/proxy/response_handler.go:206.2,206.65 1 0
llm-proxy/proxy/response_handler.go:206.65,215.17 3 0
llm-proxy/proxy/response_handler.go:215.17,220.4 2 0
llm-proxy/proxy/response_handler.go:222.3,225.29 2 0
llm-proxy/proxy/response_handler.go:229.2,229.23 1 0
llm-proxy/proxy/router.go:18.74,20.2 1 1
llm-proxy/proxy/router.go:29.68,30.22 1 1
llm-proxy/proxy/router.go:30.22,32.3 1 0
llm-proxy/proxy/router.go:33.2,33.24 1 1
llm-proxy/proxy/router.go:36.65,38.2 1 1
llm-proxy/proxy/router.go:40.101,41.20 1 1
llm-proxy/proxy/router.go:41.20,44.3 2 0
llm-proxy/proxy/router.go:45.2,51.59 5 1
llm-proxy/proxy/router.go:51.59,54.42 3 1
llm-proxy/proxy/router.go:54.42,56.4 1 1
llm-proxy/proxy/router.go:58.3,59.32 2 1
llm-proxy/proxy/router.go:59.32,61.68 2 1
llm-proxy/proxy/router.go:61.68,63.5 1 0
llm-proxy/proxy/router.go:64.4,64.15 1 1
llm-proxy/proxy/router.go:64.15,65.37 1 0
llm-proxy/proxy/router.go:65.37,67.6 1 0
llm-proxy/proxy/router.go:69.4,69.9 1 1
llm-proxy/proxy/router.go:72.3,72.32 1 1
llm-proxy/proxy/router.go:72.32,73.26 1 1
llm-proxy/proxy/router.go:73.26,74.13 1 0
llm-proxy/proxy/router.go:76.4,77.37 2 1
llm-proxy/proxy/router.go:77.37,79.13 2 1
llm-proxy/proxy/router.go:81.4,82.20 2 1
llm-proxy/proxy/router.go:82.20,84.13 2 0
llm-proxy/proxy/router.go:86.4,86.26 1 1
llm-proxy/proxy/router.go:86.26,88.13 2 1
llm-proxy/proxy/router.go:90.4,90.21 1 1
llm-proxy/proxy/router.go:90.21,92.5 1 1
llm-proxy/proxy/router.go:93.4,98.6 1 1
llm-proxy/proxy/router.go:102.2,103.28 2 1
llm-proxy/proxy/router.go:103.28,105.3 1 1
llm-proxy/proxy/router.go:106.2,107.29 2 1
llm-proxy/proxy/router.go:107.29,108.20 1 1
llm-proxy/proxy/router.go:108.20,110.4 1 0
llm-proxy/proxy/router.go:110.9,112.4 1 1
llm-proxy/proxy/router.go:115.2,115.20 1 1
llm-proxy/proxy/router.go:118.95,121.36 3 1
llm-proxy/proxy/router.go:121.36,123.3 1 1
llm-proxy/proxy/router.go:125.2,126.42 2 1
llm-proxy/proxy/router.go:126.42,128.17 2 1
llm-proxy/proxy/router.go:128.17,130.12 2 0
llm-proxy/proxy/router.go:132.3,132.22 1 1
llm-proxy/proxy/router.go:132.22,135.4 2 1
llm-proxy/proxy/router.go:137.2,137.15 1 1
